"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","266.30","273.85","264.45","270.30","268.75","267.55","269.75","561.65","250.85",12383846,"3,340,556,827.25",120833
"23-Apr-2020","EQ","270.00","279.00","269.00","268.35","270.35","270.30","274.31","561.65","250.85",15468122,"4,243,125,772.40",182297
"22-Apr-2020","EQ","266.10","269.90","259.20","265.95","269.00","268.35","265.46","561.65","250.85",14789857,"3,926,075,621.85",158776
"21-Apr-2020","EQ","280.05","281.00","263.25","286.40","266.10","265.95","266.60","561.65","250.85",16925417,"4,512,317,904.45",286180
"20-Apr-2020","EQ","294.80","295.00","285.10","293.35","286.50","286.40","289.28","561.65","250.85",11961355,"3,460,143,136.05",129180
"17-Apr-2020","EQ","297.50","299.70","285.50","288.90","292.30","293.35","291.36","561.65","250.85",17492884,"5,096,770,272.80",156395
"16-Apr-2020","EQ","276.00","291.90","276.00","285.15","290.55","288.90","285.74","561.65","250.85",17248806,"4,928,719,772.10",159950
"15-Apr-2020","EQ","287.40","295.65","281.90","282.55","286.00","285.15","289.28","561.65","250.85",20991943,"6,072,528,289.45",216185
"13-Apr-2020","EQ","285.00","292.00","273.85","284.85","282.40","282.55","281.08","561.65","250.85",15510598,"4,359,767,281.25",169856
"09-Apr-2020","EQ","280.50","289.60","277.65","274.75","284.00","284.85","283.63","561.65","250.85",13855788,"3,929,956,073.90",150361
"08-Apr-2020","EQ","271.00","292.90","266.65","276.20","273.30","274.75","281.88","561.65","250.85",20435156,"5,760,222,351.50",215435
"07-Apr-2020","EQ","266.05","277.70","261.20","253.75","275.50","276.20","270.13","561.65","250.85",15956873,"4,310,467,411.60",166420
"03-Apr-2020","EQ","267.70","268.90","251.00","266.35","254.35","253.75","255.68","561.65","250.85",12528030,"3,203,160,554.55",174595
"01-Apr-2020","EQ","266.00","267.95","258.10","269.60","266.65","266.35","262.61","561.65","250.85",11965031,"3,142,149,954.15",142931
"31-Mar-2020","EQ","262.25","272.45","259.70","254.05","270.00","269.60","266.48","561.65","250.85",15787411,"4,207,057,234.20",185680
"30-Mar-2020","EQ","267.00","270.75","250.85","277.25","255.00","254.05","260.00","561.65","250.85",15853761,"4,122,028,384.35",218642
"27-Mar-2020","EQ","291.00","295.25","274.20","284.45","276.00","277.25","282.47","561.65","253.55",11184139,"3,159,161,558.70",123864
"26-Mar-2020","EQ","290.00","295.50","280.10","286.80","281.05","284.45","288.53","561.65","253.55",11493837,"3,316,356,966.80",139566
"25-Mar-2020","EQ","267.05","295.00","267.05","271.90","288.95","286.80","280.08","561.65","253.55",9442834,"2,644,775,539.45",140205
"24-Mar-2020","EQ","277.05","285.65","258.60","271.15","271.90","271.90","270.13","561.65","253.55",12928877,"3,492,518,886.05",160998
"23-Mar-2020","EQ","268.00","278.00","253.55","297.75","272.05","271.15","264.63","561.65","253.55",12100684,"3,202,196,946.30",149907
"20-Mar-2020","EQ","279.70","305.00","274.15","271.85","296.00","297.75","287.26","561.65","255.35",17307882,"4,971,827,314.15",176547
"19-Mar-2020","EQ","268.95","284.50","260.50","280.85","272.00","271.85","274.42","561.65","255.35",18723257,"5,138,057,805.80",198240
"18-Mar-2020","EQ","290.00","293.15","275.70","282.75","282.00","280.85","281.66","561.65","255.35",18772675,"5,287,435,067.70",193555
"17-Mar-2020","EQ","300.00","307.65","280.50","289.60","282.00","282.75","294.47","561.65","255.35",20654603,"6,082,202,960.20",241973
"16-Mar-2020","EQ","304.00","317.65","287.10","326.70","291.75","289.60","302.10","561.65","255.35",23606452,"7,131,488,009.80",291120
"13-Mar-2020","EQ","270.00","332.10","255.35","287.45","329.20","326.70","301.74","561.65","255.35",33842310,"10,211,421,110.45",270225
"12-Mar-2020","EQ","275.00","291.80","267.20","299.75","291.45","287.45","281.42","561.65","267.20",43767763,"12,317,269,147.15",314421
"11-Mar-2020","EQ","324.00","326.05","296.10","322.30","297.30","299.75","308.09","561.65","296.10",28693709,"8,840,328,886.70",251678
"09-Mar-2020","EQ","337.50","337.70","319.75","351.50","323.00","322.30","327.36","561.65","319.75",20423826,"6,685,868,769.30",205411
"06-Mar-2020","EQ","356.95","358.30","346.65","375.75","351.55","351.50","352.64","561.65","320.35",14848188,"5,235,996,665.00",131450
"05-Mar-2020","EQ","383.95","387.80","374.30","377.15","374.95","375.75","380.39","561.65","320.35",14628468,"5,564,489,039.40",121582
"04-Mar-2020","EQ","388.05","389.90","365.10","387.55","375.95","377.15","373.75","561.65","320.35",22937148,"8,572,706,132.00",191616
"03-Mar-2020","EQ","373.50","391.00","370.10","364.05","388.30","387.55","378.36","561.65","320.35",18648933,"7,056,030,398.20",170252
"02-Mar-2020","EQ","393.70","394.00","358.00","381.75","364.00","364.05","379.84","561.65","320.35",20220772,"7,680,564,293.85",149142
"28-Feb-2020","EQ","398.70","398.95","375.00","412.80","381.00","381.75","383.59","561.65","320.35",24532833,"9,410,451,642.90",209662
"27-Feb-2020","EQ","414.90","415.90","407.05","416.30","413.00","412.80","411.13","561.65","320.35",10226379,"4,204,395,291.50",123126
"26-Feb-2020","EQ","411.30","419.40","411.30","421.30","416.50","416.30","415.83","561.65","320.35",14270706,"5,934,249,599.60",146854
