"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Apr-2020","EQ","1,842.50","1,939.40","1,840.00","1,865.00","1,890.45","1,894.80","1,908.56","3,022.90","1,475.00",1711725,"3,266,934,483.05",86793
"23-Apr-2020","EQ","1,900.00","1,923.45","1,855.00","1,887.65","1,869.00","1,865.00","1,887.47","3,022.90","1,475.00",1882834,"3,553,801,307.65",73424
"22-Apr-2020","EQ","1,800.00","1,905.00","1,796.90","1,827.55","1,886.00","1,887.65","1,878.66","3,022.90","1,475.00",2737381,"5,142,606,307.75",127464
"21-Apr-2020","EQ","1,785.10","1,838.90","1,758.00","1,805.85","1,835.00","1,827.55","1,801.15","3,022.90","1,475.00",1650673,"2,973,112,522.75",84069
"20-Apr-2020","EQ","1,874.95","1,879.95","1,787.05","1,835.90","1,815.00","1,805.85","1,809.28","3,022.90","1,475.00",2291195,"4,145,403,767.85",116626
"17-Apr-2020","EQ","1,839.95","1,875.00","1,812.00","1,782.65","1,836.00","1,835.90","1,838.29","3,022.90","1,475.00",1327772,"2,440,833,150.70",90752
"16-Apr-2020","EQ","1,800.00","1,807.45","1,752.55","1,824.10","1,792.00","1,782.65","1,782.30","3,022.90","1,475.00",1453650,"2,590,847,118.05",100496
"15-Apr-2020","EQ","1,940.00","1,974.00","1,811.70","1,919.05","1,829.45","1,824.10","1,894.97","3,022.90","1,475.00",1537630,"2,913,764,414.70",123963
"13-Apr-2020","EQ","1,952.00","2,023.50","1,888.05","1,990.90","1,920.50","1,919.05","1,946.32","3,022.90","1,475.00",1561005,"3,038,216,689.15",83231
"09-Apr-2020","EQ","1,879.15","2,013.40","1,853.00","1,821.65","1,969.85","1,990.90","1,966.46","3,022.90","1,475.00",2416795,"4,752,518,784.75",145975
"08-Apr-2020","EQ","1,702.00","1,883.80","1,700.00","1,769.20","1,830.00","1,821.65","1,815.49","3,022.90","1,475.00",1376706,"2,499,401,093.65",82169
"07-Apr-2020","EQ","1,630.00","1,789.00","1,623.65","1,582.05","1,775.25","1,769.20","1,692.42","3,022.90","1,475.00",1374511,"2,326,255,796.15",105730
"03-Apr-2020","EQ","1,610.05","1,623.00","1,543.15","1,639.65","1,589.00","1,582.05","1,579.91","3,022.90","1,475.00",1592848,"2,516,550,058.25",97799
"01-Apr-2020","EQ","1,590.10","1,647.35","1,565.00","1,596.45","1,636.00","1,639.65","1,611.88","3,022.90","1,475.00",1641556,"2,645,985,349.80",116228
"31-Mar-2020","EQ","1,593.00","1,633.75","1,565.00","1,553.50","1,580.30","1,596.45","1,599.91","3,022.90","1,475.00",1456426,"2,330,149,866.30",79213
"30-Mar-2020","EQ","1,635.00","1,640.00","1,542.30","1,661.20","1,566.00","1,553.50","1,584.81","3,022.90","1,475.00",1250949,"1,982,522,268.90",81551
"27-Mar-2020","EQ","1,815.00","1,830.35","1,640.60","1,801.90","1,660.00","1,661.20","1,717.87","3,022.90","1,475.00",1515015,"2,602,594,104.85",111118
"26-Mar-2020","EQ","1,689.90","1,827.95","1,645.60","1,667.65","1,785.00","1,801.90","1,760.43","3,022.90","1,475.00",1448405,"2,549,815,097.35",108095
"25-Mar-2020","EQ","1,560.00","1,683.50","1,525.30","1,627.05","1,664.80","1,667.65","1,620.26","3,022.90","1,475.00",1027512,"1,664,837,930.30",93718
"24-Mar-2020","EQ","1,650.00","1,754.10","1,475.00","1,616.00","1,618.00","1,627.05","1,628.35","3,022.90","1,475.00",1489165,"2,424,880,955.95",106962
"23-Mar-2020","EQ","1,634.15","1,673.15","1,520.00","1,815.70","1,615.15","1,616.00","1,593.06","3,022.90","1,520.00",750843,"1,196,136,026.50",53249
"20-Mar-2020","EQ","1,725.00","1,845.70","1,675.00","1,712.45","1,822.00","1,815.70","1,752.72","3,022.90","1,535.00",1244977,"2,182,101,043.80",86290
"19-Mar-2020","EQ","1,648.00","1,789.00","1,561.95","1,681.15","1,703.10","1,712.45","1,699.85","3,022.90","1,535.00",1276787,"2,170,349,391.75",96846
"18-Mar-2020","EQ","1,841.00","1,860.00","1,666.00","1,841.15","1,690.00","1,681.15","1,732.67","3,022.90","1,535.00",1118514,"1,938,012,850.45",97765
"17-Mar-2020","EQ","1,783.00","1,903.60","1,756.35","1,783.50","1,829.00","1,841.15","1,850.72","3,022.90","1,535.00",1236906,"2,289,170,765.45",68812
"16-Mar-2020","EQ","1,818.00","1,845.00","1,775.30","1,883.95","1,783.50","1,783.50","1,809.85","3,022.90","1,535.00",883109,"1,598,298,187.75",67888
"13-Mar-2020","EQ","1,761.00","1,943.00","1,535.00","1,907.20","1,902.00","1,883.95","1,835.75","3,022.90","1,535.00",1184616,"2,174,662,777.60",73201
"12-Mar-2020","EQ","1,956.00","1,978.95","1,793.75","2,036.05","1,922.00","1,907.20","1,878.50","3,022.90","1,793.75",2248848,"4,224,461,047.30",99521
"11-Mar-2020","EQ","1,968.00","2,049.80","1,948.90","1,956.05","2,037.05","2,036.05","2,022.43","3,022.90","1,915.30",1848135,"3,737,716,430.70",91288
"09-Mar-2020","EQ","1,995.00","2,011.50","1,915.30","2,038.30","1,956.00","1,956.05","1,956.79","3,022.90","1,915.30",844134,"1,651,791,939.60",53417
"06-Mar-2020","EQ","1,971.00","2,053.45","1,971.00","2,063.90","2,031.95","2,038.30","2,016.95","3,022.90","1,961.00",606826,"1,223,937,471.45",40912
"05-Mar-2020","EQ","2,061.70","2,093.10","2,052.30","2,046.35","2,060.95","2,063.90","2,072.77","3,022.90","1,961.00",899516,"1,864,491,541.15",54656
"04-Mar-2020","EQ","2,070.00","2,073.35","2,000.50","2,054.85","2,055.00","2,046.35","2,042.63","3,022.90","1,961.00",976550,"1,994,725,679.55",61846
"03-Mar-2020","EQ","1,976.00","2,063.85","1,976.00","1,975.45","2,057.40","2,054.85","2,027.91","3,022.90","1,961.00",1689926,"3,427,009,964.75",88001
"02-Mar-2020","EQ","2,100.00","2,110.00","1,961.00","2,051.75","1,975.00","1,975.45","2,031.64","3,022.90","1,961.00",1207967,"2,454,157,490.45",66163
"28-Feb-2020","EQ","2,080.00","2,110.00","2,033.95","2,110.25","2,043.00","2,051.75","2,067.52","3,022.90","2,033.95",1879071,"3,885,009,715.70",86485
"27-Feb-2020","EQ","2,147.90","2,158.65","2,101.00","2,142.55","2,104.20","2,110.25","2,117.06","3,022.90","2,101.00",1093297,"2,314,579,272.50",66484
"26-Feb-2020","EQ","2,180.00","2,195.00","2,136.00","2,184.15","2,149.00","2,142.55","2,162.58","3,022.90","2,136.00",972076,"2,102,195,811.60",54477
"25-Feb-2020","EQ","2,190.20","2,214.00","2,164.05","2,184.20","2,189.00","2,184.15","2,190.57","3,022.90","2,164.05",861921,"1,888,100,150.15",55124
"24-Feb-2020","EQ","2,220.00","2,220.00","2,175.00","2,240.25","2,181.95","2,184.20","2,196.46","3,022.90","2,175.00",808263,"1,775,320,081.85",48073
"20-Feb-2020","EQ","2,267.00","2,276.00","2,235.45","2,251.60","2,240.00","2,240.25","2,256.71","3,022.90","2,225.00",886179,"1,999,848,260.40",48464
"19-Feb-2020","EQ","2,274.00","2,278.00","2,227.05","2,252.65","2,251.00","2,251.60","2,251.43","3,022.90","2,225.00",729471,"1,642,349,942.70",46870
"18-Feb-2020","EQ","2,283.20","2,283.20","2,225.00","2,283.35","2,249.95","2,252.65","2,245.50","3,022.90","2,225.00",839607,"1,885,334,432.35",48876
"17-Feb-2020","EQ","2,335.00","2,335.00","2,269.55","2,356.50","2,283.50","2,283.35","2,292.44","3,022.90","2,225.60",818134,"1,875,521,449.60",59116
"14-Feb-2020","EQ","2,424.00","2,437.80","2,351.10","2,408.95","2,361.90","2,356.50","2,389.65","3,022.90","2,225.60",798770,"1,908,780,047.80",61296
"13-Feb-2020","EQ","2,419.00","2,441.30","2,401.00","2,423.05","2,411.25","2,408.95","2,421.05","3,022.90","2,225.60",514501,"1,245,631,124.05",26432
"12-Feb-2020","EQ","2,410.00","2,430.00","2,400.00","2,396.45","2,425.00","2,423.05","2,417.63","3,022.90","2,225.60",467714,"1,130,760,263.05",33002
"11-Feb-2020","EQ","2,415.00","2,443.35","2,390.00","2,385.70","2,399.00","2,396.45","2,417.29","3,022.90","2,225.60",680119,"1,644,042,269.00",40646
"10-Feb-2020","EQ","2,449.50","2,457.45","2,375.15","2,443.45","2,395.65","2,385.70","2,406.78","3,022.90","2,225.60",949025,"2,284,090,557.15",45162
"07-Feb-2020","EQ","2,480.00","2,496.00","2,421.35","2,411.30","2,440.05","2,443.45","2,455.42","3,022.90","2,225.60",2709754,"6,653,594,330.05",140151
"06-Feb-2020","EQ","2,395.00","2,427.00","2,355.00","2,373.25","2,419.00","2,411.30","2,402.94","3,022.90","2,225.60",1632634,"3,923,120,892.65",65825
"05-Feb-2020","EQ","2,472.00","2,478.90","2,345.55","2,462.05","2,374.00","2,373.25","2,377.41","3,022.90","2,225.60",2176980,"5,175,564,023.80",67347
"04-Feb-2020","EQ","2,412.00","2,484.60","2,400.80","2,376.15","2,465.00","2,462.05","2,455.26","3,022.90","2,225.60",1187298,"2,915,123,418.30",50993
"03-Feb-2020","EQ","2,391.00","2,469.00","2,358.00","2,446.90","2,392.00","2,376.15","2,401.98","3,022.90","2,225.60",1507692,"3,621,448,340.45",62279
"01-Feb-2020","EQ","2,489.85","2,531.00","2,380.15","2,501.85","2,420.00","2,446.90","2,478.19","3,022.90","2,225.60",791944,"1,962,590,273.45",39091
"31-Jan-2020","EQ","2,508.00","2,521.90","2,492.05","2,482.30","2,499.00","2,501.85","2,509.76","3,022.90","2,225.60",574957,"1,443,003,333.25",32535
"30-Jan-2020","EQ","2,486.95","2,522.00","2,464.00","2,486.35","2,484.00","2,482.30","2,493.80","3,022.90","2,225.60",797868,"1,989,721,809.20",43213
"29-Jan-2020","EQ","2,484.00","2,510.00","2,470.00","2,468.85","2,485.25","2,486.35","2,494.60","3,022.90","2,225.60",787135,"1,963,589,245.80",49150
"28-Jan-2020","EQ","2,456.75","2,508.95","2,440.00","2,455.75","2,462.50","2,468.85","2,484.38","3,022.90","2,225.60",904634,"2,247,452,805.65",51363
"27-Jan-2020","EQ","2,456.00","2,498.50","2,425.05","2,468.65","2,455.00","2,455.75","2,464.13","3,022.90","2,225.60",897656,"2,211,943,440.25",35113
"24-Jan-2020","EQ","2,440.00","2,474.80","2,427.10","2,429.75","2,465.00","2,468.65","2,460.02","3,022.90","2,225.60",519690,"1,278,445,796.55",29953
"23-Jan-2020","EQ","2,397.00","2,434.85","2,380.00","2,399.05","2,431.00","2,429.75","2,411.56","3,022.90","2,225.60",315469,"760,773,700.20",23581
"22-Jan-2020","EQ","2,408.70","2,410.00","2,379.00","2,398.70","2,397.10","2,399.05","2,393.56","3,022.90","2,225.60",346888,"830,295,817.95",21915
"21-Jan-2020","EQ","2,410.00","2,412.65","2,375.00","2,415.60","2,398.00","2,398.70","2,389.59","3,022.90","2,225.60",568473,"1,358,414,666.85",29233
"20-Jan-2020","EQ","2,454.00","2,459.65","2,410.10","2,454.00","2,417.00","2,415.60","2,425.34","3,022.90","2,225.60",320280,"776,789,027.80",18965
"17-Jan-2020","EQ","2,445.00","2,474.90","2,421.60","2,434.50","2,445.00","2,454.00","2,459.23","3,022.90","2,225.60",457663,"1,125,499,545.40",26124
"16-Jan-2020","EQ","2,474.95","2,474.95","2,427.00","2,476.30","2,437.00","2,434.50","2,445.48","3,022.90","2,225.60",590255,"1,443,455,278.30",31702
"15-Jan-2020","EQ","2,419.95","2,480.55","2,414.00","2,411.40","2,472.10","2,476.30","2,450.52","3,022.90","2,225.60",1051367,"2,576,395,980.25",40898
"14-Jan-2020","EQ","2,367.00","2,418.80","2,361.05","2,366.75","2,415.50","2,411.40","2,395.48","3,022.90","2,225.60",787340,"1,886,053,810.95",36293
"13-Jan-2020","EQ","2,382.90","2,382.90","2,352.35","2,363.45","2,366.00","2,366.75","2,367.95","3,022.90","2,225.60",434063,"1,027,840,195.45",21550
"10-Jan-2020","EQ","2,357.00","2,387.70","2,351.00","2,354.55","2,365.00","2,363.45","2,372.67","3,023.00","2,225.60",578287,"1,372,082,692.15",25786
"09-Jan-2020","EQ","2,341.00","2,365.00","2,326.10","2,317.55","2,358.00","2,354.55","2,347.95","3,023.00","2,225.60",732115,"1,718,967,029.65",41779
"08-Jan-2020","EQ","2,322.00","2,345.05","2,310.55","2,348.05","2,318.90","2,317.55","2,322.24","3,023.00","2,225.60",595883,"1,383,782,132.80",32256
"07-Jan-2020","EQ","2,378.00","2,399.90","2,337.00","2,368.15","2,353.70","2,348.05","2,356.79","3,023.00","2,225.60",620687,"1,462,826,581.80",34218
"06-Jan-2020","EQ","2,428.95","2,428.95","2,360.05","2,432.35","2,366.00","2,368.15","2,378.32","3,023.00","2,225.60",624665,"1,485,651,197.50",34021
"03-Jan-2020","EQ","2,420.00","2,449.00","2,415.00","2,429.45","2,435.75","2,432.35","2,433.37","3,159.05","2,225.60",544720,"1,325,505,212.85",32567
"02-Jan-2020","EQ","2,447.80","2,452.00","2,417.05","2,432.55","2,428.20","2,429.45","2,435.16","3,159.05","2,225.60",546945,"1,331,901,154.50",25944
"01-Jan-2020","EQ","2,454.90","2,462.55","2,427.35","2,443.05","2,432.00","2,432.55","2,443.14","3,159.05","2,225.60",314519,"768,415,228.65",13924
"31-Dec-2019","EQ","2,466.50","2,474.00","2,433.45","2,479.05","2,446.00","2,443.05","2,457.36","3,159.05","2,225.60",443409,"1,089,614,927.65",27909
"30-Dec-2019","EQ","2,446.00","2,485.00","2,441.00","2,442.45","2,476.05","2,479.05","2,463.62","3,159.05","2,225.60",699880,"1,724,234,989.05",30768
"27-Dec-2019","EQ","2,450.00","2,458.00","2,421.50","2,438.65","2,446.00","2,442.45","2,439.68","3,301.00","2,225.60",599490,"1,462,564,084.55",25848
"26-Dec-2019","EQ","2,432.65","2,454.95","2,425.05","2,432.65","2,439.00","2,438.65","2,441.57","3,301.00","2,225.60",754276,"1,841,618,171.15",40293
"24-Dec-2019","EQ","2,419.95","2,448.55","2,419.05","2,420.10","2,433.75","2,432.65","2,438.98","3,301.00","2,225.60",1173285,"2,861,617,201.20",40110
"23-Dec-2019","EQ","2,400.00","2,435.35","2,381.40","2,393.20","2,419.00","2,420.10","2,415.00","3,301.00","2,225.60",1192490,"2,879,858,818.50",54819
"20-Dec-2019","EQ","2,369.00","2,425.00","2,365.00","2,363.70","2,394.20","2,393.20","2,405.56","3,380.00","2,225.60",1615264,"3,885,617,104.45",56277
"19-Dec-2019","EQ","2,311.10","2,376.60","2,295.75","2,311.95","2,355.00","2,363.70","2,354.14","3,380.00","2,225.60",1767354,"4,160,591,899.55",71625
"18-Dec-2019","EQ","2,314.95","2,320.00","2,290.05","2,304.95","2,311.15","2,311.95","2,307.87","3,380.00","2,225.60",952321,"2,197,828,489.45",51564
"17-Dec-2019","EQ","2,318.00","2,328.25","2,297.00","2,308.45","2,303.70","2,304.95","2,310.40","3,380.00","2,225.60",810022,"1,871,476,581.35",49625
"16-Dec-2019","EQ","2,340.25","2,347.95","2,304.15","2,338.15","2,307.05","2,308.45","2,318.47","3,380.00","2,225.60",593867,"1,376,864,935.65",51788
"13-Dec-2019","EQ","2,348.00","2,359.00","2,320.20","2,334.05","2,338.20","2,338.15","2,339.98","3,380.00","2,225.60",924706,"2,163,797,205.40",68125
"12-Dec-2019","EQ","2,312.00","2,344.40","2,307.35","2,296.30","2,333.00","2,334.05","2,331.77","3,380.00","2,225.60",871422,"2,031,953,216.60",59817
"11-Dec-2019","EQ","2,337.00","2,343.95","2,263.00","2,330.00","2,287.00","2,296.30","2,292.09","3,380.00","2,225.60",1264067,"2,897,361,311.45",89243
"10-Dec-2019","EQ","2,400.00","2,406.10","2,322.00","2,381.75","2,327.00","2,330.00","2,358.78","3,380.00","2,225.60",805888,"1,900,914,729.35",53440
"09-Dec-2019","EQ","2,376.70","2,395.00","2,359.60","2,362.20","2,379.00","2,381.75","2,382.41","3,380.00","2,225.60",428294,"1,020,369,812.95",29686
"06-Dec-2019","EQ","2,411.00","2,416.60","2,351.00","2,396.60","2,363.00","2,362.20","2,381.22","3,380.00","2,225.60",750661,"1,787,490,992.15",46047
"05-Dec-2019","EQ","2,445.00","2,475.00","2,391.00","2,439.00","2,395.10","2,396.60","2,424.34","3,380.00","2,225.60",948025,"2,298,332,215.95",51800
"04-Dec-2019","EQ","2,420.00","2,458.75","2,412.00","2,422.40","2,434.00","2,439.00","2,438.84","3,380.00","2,225.60",457308,"1,115,301,302.70",28137
"03-Dec-2019","EQ","2,402.00","2,434.90","2,400.00","2,406.95","2,420.00","2,422.40","2,423.13","3,380.00","2,225.60",506622,"1,227,611,344.35",27992
"02-Dec-2019","EQ","2,431.00","2,447.00","2,400.00","2,433.55","2,404.00","2,406.95","2,417.02","3,380.00","2,225.60",671750,"1,623,631,094.95",44741
"29-Nov-2019","EQ","2,476.75","2,483.75","2,424.00","2,466.30","2,427.55","2,433.55","2,443.33","3,380.00","2,225.60",757233,"1,850,170,723.00",42390
"28-Nov-2019","EQ","2,517.00","2,520.00","2,460.00","2,523.25","2,470.00","2,466.30","2,489.92","3,380.00","2,225.60",544359,"1,355,408,533.85",37558
"27-Nov-2019","EQ","2,495.90","2,534.00","2,491.55","2,494.60","2,515.70","2,523.25","2,516.54","3,380.00","2,225.60",1008253,"2,537,311,549.30",64690
"26-Nov-2019","EQ","2,489.00","2,514.75","2,471.50","2,479.00","2,491.60","2,494.60","2,494.56","3,380.00","2,225.60",1342442,"3,348,797,779.10",104496
